lab;filter_name;shelf;name;weight;unit;producer;quantity;code;sds
1.12;C;1;ACTIVATED CHARCOAL NORIT;1;kg;SIGMA-ALDRICH;1;97876;https://www.sigmaaldrich.com/IT/en/sds/sigald/97876
1.12;G;1;D(+)-GLUCOSE;1;kg;PROLABO;1;24379294;https://it.vwr.com/assetsvc/asset/en_GB/id/7665438/contents
1.12;S;1;D(+)-SUCROSE;250;g;FLUKA;1;84100;https://www.sigmaaldrich.com/IT/en/sds/sial/84100
1.12;F;1;D-FRUCTOSE;100;g;SIGMA-ALDRICH;1;F0127;https://www.sigmaaldrich.com/IT/en/sds/sigma/f0127
1.12;P;1;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;250;g;SIGMA-ALDRICH;1;11126;https://www.sigmaaldrich.com/IT/en/sds/sial/383376
1.12;P;1;POTASSIUM ANTIMONYL TARTRATE TRHYDRATE;100;g;SIGMA-ALDRICH;1;383376;https://www.sigmaaldrich.com/IT/en/sds/sial/383376
1.12;P;1;POTASSIUM CARBONATE;1;kg;SIGMA-ALDRICH;1;209619-1KG;https://www.sigmaaldrich.com/IT/en/sds/sigald/209619
1.12;P;1;POTASSIUM CHLORIDE ;500;g;SIGMA-ALDRICH;1;P9333;https://www.sigmaaldrich.com/IT/en/sds/sigma/p9541
1.12;P;1;POTASSIUM CHLORIDE ;1;kg;VWR;1;26760.295;https://it.vwr.com/assetsvc/asset/en_GB/id/7669603/contents/7669603.pdf
1.12;P;1;POTASSIUM DISULFITE;500;g;SIGMA-ALDRICH;1;P2522;https://www.sigmaaldrich.com/IT/en/sds/sigald/p2522
1.12;P;1;POTASSIUM IODIDE;100;g;SIGMA-ALDRICH;2;60400-100G-F;https://www.sigmaaldrich.com/IT/en/sds/sigald/221945
1.12;P;1;POTASSIUM NITRATE;500;g;SIGMA-ALDRICH;1;P6030-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p6030
1.12;P;1;POTASSIUM PHOSPHATE DIBASIC;500;g;SIGMA-ALDRICH;1;P8281;https://www.sigmaaldrich.com/IT/en/sds/sial/p8281
1.12;P;1;POTASSIUM PHOSPHATE MONOBASIC;1;kg;SIGMA-ALDRICH;1;P5655-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/p5655
1.12;S;1;STARCH;100;g;SIGMA-ALDRICH;1;S9765;https://www.sigmaaldrich.com/IT/en/sds/sial/s9765
1.12;S;1;SUCROSE;1;kg;FLUKA;1;84100-1kg;https://www.sigmaaldrich.com/IT/en/sds/sial/84100
1.12;S;2;SODIUM ACETATE TRIHYDRATE bioxtra;250;g;SIGMA-ALDRICH;1;S7670;https://www.sigmaaldrich.com/IT/en/sds/sial/s7670
1.12;S;2;SODIUM BICARBONATE;500;g;SIGMA-ALDRICH;1;S5761-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/s5761
1.12;S;2;SODIUM BISULFITE ACS reagent;100;g;SIGMA-ALDRICH;1;243973;https://www.sigmaaldrich.com/IT/en/sds/sigald/243973
1.12;S;2;SODIUM BOROHYDRIDE;25;g;SIGMA-ALDRICH;1;71320-25G;https://www.sigmaaldrich.com/IT/en/sds/aldrich/71320
1.12;S;2;SODIUM CARBONATE;500;g;SIGMA-ALDRICH;1;S7795-500G;https://www.sigmaaldrich.com/IT/en/sds/sial/s7795
1.12;S;2;SODIUM CARBONATE BIOEXTRA 99%;1;kg;SIGMA ALDRICH;1;S7795-1KG;https://www.sigmaaldrich.com/IT/en/sds/sial/s7795
1.12;S;2;SODIUM CHLORIDE;1;kg;SIGMA ALDRICH;1;746398;https://www.sigmaaldrich.com/IT/en/sds/sigald/746398
1.12;S;2;SODIUM CITRATE TRIBASIC DIHYDRATE;500;g;SIGMA-ALDRICH;1;S1804;https://www.sigmaaldrich.com/IT/en/sds/sial/s1804
1.12;S;2;SODIUM CITRATE TRIBASIC DIHYDRATE;500;g;SIGMA-ALDRICH;1;S4641-500G;https://www.sigmaaldrich.com/IT/en/sds/sial/s4641
1.12;S;2;SODIUM HEXAMETAPHOSPHATE;1;Kg;SIGMA-ALDRICH;2;71600-1KG;https://www.sigmaaldrich.com/IT/en/sds/aldrich/71600
1.12;S;2;SODIUM METABISULFITE;1;kg;SIGMA ALDRICH;1;13459-1KG;https://www.sigmaaldrich.com/IT/en/sds/sigald/13459
1.12;S;2;SODIUM METABISULFITE;1;kg;CARLO ERBA;1;481287;https://www.carloerbareagents.com/cerstorefront/cer-it/c/Sodium-metabisulfite%2C-97%25/p/A17351
1.12;S;2;SODIUM METABORATE TETRAHYDRATE;500;g;ACROS ORGANICS;1;211635000;https://assets.thermofisher.com/DirectWebViewer/private/document.aspx?prd=ACR21163~~PDF~~MTR~~CLP1~~EN~~2020-12-20%2016:02:57~~Sodium%20metaborate%20tetrahydrate~~
1.12;S;2;SODIUM NITROPRUSSIDE DIHYDRATE;100;g;SIGMA-ALDRICH;1;13451;https://www.sigmaaldrich.com/IT/en/sds/sial/13451
1.12;S;2;SODIUM OXALATE SIGMAULTRA;100;g;SIGMA-ALDRICH;1;O0136-100G;https://www.sigmaaldrich.com/IT/en/sds/sigald/o0136
1.12;S;2;SODIUM PHOSPHATE DIBASIC ANHYDROUS;1;kg;MP;1;195501;https://www.mpbio.com/media/document/file/sds/dest/m/p/_/m/s/d/s/_/1/9/9/8/0/MP_MSDS_199802_US_EN.pdf
1.12;S;2;SODIUM PYROPHOSPHATE DECAHYDRATE 99%;1;kg;SIGMA ALDRICH;1;221368-1KG;https://www.sigmaaldrich.com/IT/en/sds/sigald/221368
1.12;S;2;SODIUM PYROPHOSPHATE TETRABASIC ≥95%;500;g;SIGMA-ALDRICH;2;P8010-500g;https://www.sigmaaldrich.com/IT/en/sds/aldrich/p8010
1.12;S;2;SODIUM SALICYLATE;500;g;SIGMA-ALDRICH;2;S3007;https://www.sigmaaldrich.com/IT/en/sds/mm/1.06601
1.12;S;2;SODIUM SULFATE ANHYDROUS;1;kg;J.T. BAKER;2;0313;https://us.vwr.com/assetsvc/asset/en_US/id/8271759/contents/jt3891-5_08302011
1.12;S;2;SODIUM THIOSULFATE;250;g;SIGMA-ALDRICH;1;72049-250G;https://www.sigmaaldrich.com/IT/en/sds/sigald/72049
1.12;A;3;ALUMINIUM NITRATE NONAHYDRATE;100;g;SIGMA-ALDRICH;1;237973-100G;https://www.sigmaaldrich.com/IT/en/sds/sigald/237973
1.12;A;3;ALUMINIUM TRI-SEC BUTYLATE FOR SYNTHESIS;250;g;SIGMA-ALDRICH;1;8.20054;https://www.sigmaaldrich.com/IT/en/sds/mm/8.20054
1.12;A;3;AMMONIUM ACETATE;250;g;Fluka;1;09690;https://www.sigmaaldrich.com/IT/en/sds/mm/1.01116
1.12;A;3;AMMONIUM CHLORIDE;500;g;SIGMA-ALDRICH;1;A9434-500G;https://www.sigmaaldrich.com/IT/en/sds/sigma/a9434
1.12;A;3;AMMONIUM MOLYBDATE TETRAHYDRATE;100;g;SIGMA-ALDRICH;2;09878-100G;https://www.sigmaaldrich.com/IT/en/sds/sigma/09878
